id,name,code,account_type,reconcile
account_py_101,FUNDS TO DEPOSIT,1.01.01.01,asset_current,False
account_py_102,CASH,1.01.01.02,asset_current,False
account_py_103,PETTY CASH,1.01.01.03,asset_current,False
account_py_104,BANKS,1.01.01.04,asset_current,True
account_py_201,FINANCIAL INVESTMENTS,1.01.02.01,asset_current,False
account_py_202,INVESTMENTS IN RELATED PARTIES,1.01.02.02,asset_current,False
account_py_203,OTHER INVESTMENTS,1.01.02.03,asset_current,False
account_py_204,"INTEREST, ROYALTIES AND OTHER INVESTMENT RETURNS",1.01.02.04,asset_current,False
account_py_301,ACCOUNTS RECEIVABLE - SALES,1.01.03.01,asset_receivable,True
account_py_302,LOAN RECEIVABLES,1.01.03.02,asset_current,True
account_py_303,DIRECTORS AND OFFICERS RECEIVABLES,1.01.03.03,asset_current,True
account_py_304,PARTNERS AND RELATED PARTIES RECEIVABLES,1.01.03.04,asset_current,True
account_py_30501,INCOME TAX ADVANCES AND WITHHOLDINGS,1.01.03.05.01,asset_current,False
account_py_30502,VAT WITHHOLDINGS,1.01.03.05.02,asset_current,False
account_py_30503,VAT - INPUT TAX,1.01.03.05.03,asset_current,False
account_py_30504,VAT - INPUT TAX - TOURISM REGIME,1.01.03.05.04,asset_current,False
account_py_30601,ADVANCES TO LOCAL SUPPLIERS,1.01.03.06.01,asset_current,False
account_py_30602,ADVANCES TO FOREIGN SUPPLIERS,1.01.03.06.02,asset_current,False
account_py_3099,ALLOWANCE FOR DOUBTFUL ACCOUNTS,1.01.03.99,asset_current,False
account_py_40101,MERCHANDISE SUBJECT TO 10% VAT,1.01.04.01.01,asset_current,False
account_py_40102,MERCHANDISE SUBJECT TO 5% VAT,1.01.04.01.02,asset_current,False
account_py_40103,MERCHANDISE EXEMPT FROM VAT,1.01.04.01.03,asset_current,False
account_py_40201,MERCHANDISE - TOURISM REGIME,1.01.04.02.01,asset_current,False
account_py_40202,MERCHANDISE - FREE ZONE,1.01.04.02.02,asset_current,False
account_py_40203,MERCHANDISE - MAQUILA REGIME,1.01.04.02.03,asset_current,False
account_py_40204,MERCHANDISE - OTHER SPECIAL REGIMES,1.01.04.02.04,asset_current,False
account_py_40301,FINISHED PRODUCTS SUBJECT TO 10% VAT,1.01.04.03.01,asset_current,False
account_py_40302,FINISHED PRODUCTS SUBJECT TO 5% VAT,1.01.04.03.02,asset_current,False
account_py_40303,FINISHED PRODUCTS EXEMPT FROM VAT,1.01.04.03.03,asset_current,False
account_py_404,WORK IN PROGRESS,1.01.04.04,asset_current,False
account_py_405,RAW MATERIALS,1.01.04.05,asset_current,False
account_py_406,"MATERIALS, SUPPLIES AND SPARE PARTS",1.01.04.06,asset_current,False
account_py_407,AGRICULTURAL PRODUCTS,1.01.04.07,asset_current,False
account_py_408,FORESTRY PRODUCTS,1.01.04.08,asset_current,False
account_py_409,BIOLOGICAL ASSETS IN PRODUCTION,1.01.04.09,asset_current,False
account_py_4010,BIOLOGICAL ASSETS IN DEVELOPMENT,1.01.04.10,asset_current,False
account_py_4011,GOODS IN TRANSIT,1.01.04.11,asset_current,False
account_py_4099,INVENTORY OBSOLESCENCE ALLOWANCE,1.01.04.99,asset_current,False
account_py_501,PREPAID RENT,1.01.05.01,asset_prepayments,False
account_py_502,ACCRUED INSURANCE,1.01.05.02,asset_prepayments,False
account_py_1001,ACCOUNTS RECEIVABLE - SALES (L/T),1.02.01.01,asset_non_current,True
account_py_1002,LOAN RECEIVABLES (L/T),1.02.01.02,asset_non_current,True
account_py_1003,DIRECTORS AND OFFICERS RECEIVABLES (L/T),1.02.01.03,asset_non_current,True
account_py_1004,PARTNERS AND RELATED PARTIES RECEIVABLES (L/T),1.02.01.04,asset_non_current,True
account_py_1005,RECEIVABLES UNDER COLLECTION - DOUBTFUL OR SIMILAR,1.02.01.05,asset_non_current,True
account_py_100601,LONG-TERM ADVANCES TO LOCAL SUPPLIERS,1.02.01.06.01,asset_non_current,False
account_py_100602,LONG-TERM ADVANCES TO FOREIGN SUPPLIERS,1.02.01.06.02,asset_non_current,False
account_py_1007,DEFERRED TAX ASSETS,1.02.01.07,asset_non_current,False
account_py_10099,LONG-TERM ALLOWANCE FOR DOUBTFUL ACCOUNTS,1.02.01.99,asset_non_current,False
account_py_1101,BIOLOGICAL ASSETS IN PRODUCTION (L/T),1.02.02.01,asset_non_current,False
account_py_1102,BIOLOGICAL ASSETS IN DEVELOPMENT (L/T),1.02.02.02,asset_non_current,False
account_py_1199,BIOLOGICAL ASSETS IMPAIRMENT ALLOWANCE,1.02.02.99,asset_non_current,False
account_py_1201,LONG-TERM FINANCIAL INVESTMENTS,1.02.03.01,asset_non_current,False
account_py_1202,LONG-TERM INVESTMENTS IN RELATED PARTIES,1.02.03.02,asset_non_current,False
account_py_1203,REAL ESTATE INVESTMENTS,1.02.03.03,asset_non_current,False
account_py_1204,OTHER LONG-TERM INVESTMENTS,1.02.03.04,asset_non_current,False
account_py_1205,"INTEREST, ROYALTIES AND OTHER INVESTMENT RETURNS (L/T)",1.02.03.05,asset_non_current,False
account_py_1299,INVESTMENT IMPAIRMENT ALLOWANCE,1.02.03.99,asset_non_current,False
account_py_1301,LAND AND BUILDINGS,1.02.04.01,asset_fixed,False
account_py_1302,VEHICLES / TRANSPORT,1.02.04.02,asset_fixed,False
account_py_1303,"FURNITURE, FIXTURES AND EQUIPMENT",1.02.04.03,asset_fixed,False
account_py_1304,MACHINERY,1.02.04.04,asset_fixed,False
account_py_1305,EQUIPMENT,1.02.04.05,asset_fixed,False
account_py_1306,TOOLS,1.02.04.06,asset_fixed,False
account_py_1307,ASSETS NOT IN OPERATION,1.02.04.07,asset_fixed,False
account_py_1308,LEASEHOLD IMPROVEMENTS,1.02.04.08,asset_fixed,False
account_py_1397,ASSETS INCORPORATED UNDER LAW 60/90,1.02.04.97,asset_fixed,False
account_py_1398,ASSETS UNDER FINANCE LEASE,1.02.04.98,asset_fixed,False
account_py_1399,ACCUMULATED DEPRECIATION,1.02.04.99,asset_fixed,False
account_py_1401,TRUST RIGHTS,1.02.05.01,asset_non_current,False
account_py_1501,ORGANIZATION COSTS,1.02.06.01,asset_non_current,False
account_py_1502,SETUP COSTS,1.02.06.02,asset_non_current,False
account_py_1503,DEVELOPMENT COSTS,1.02.06.03,asset_non_current,False
account_py_1504,INVESTMENT PROJECT COSTS,1.02.06.04,asset_non_current,False
account_py_1599,ACCUMULATED AMORTIZATION - DEFERRED CHARGES,1.02.06.99,asset_non_current,False
account_py_1601,"LICENSES, TRADEMARKS AND PATENTS",1.02.07.01,asset_non_current,False
account_py_1602,FRANCHISES,1.02.07.02,asset_non_current,False
account_py_1699,ACCUMULATED AMORTIZATION - INTANGIBLES,1.02.07.99,asset_non_current,False
account_py_2001,LOCAL SUPPLIERS,2.01.01.01,liability_payable,True
account_py_2002,FOREIGN SUPPLIERS,2.01.01.02,liability_payable,True
