id,code_prefix_start,name
account_group_1,1,ASSETS
account_group_101,1.01,CURRENT ASSETS
account_group_10101,1.01.01,CASH AND CASH EQUIVALENTS
account_group_10102,1.01.02,TEMPORARY INVESTMENTS
account_group_10103,1.01.03,RECEIVABLES
account_group_101030,1.01.03.05,CURRENT TAX RECEIVABLES
account_group_101031,1.01.03.06,ADVANCES TO SUPPLIERS
account_group_10104,1.01.04,INVENTORIES
account_group_101040,1.01.04.01,MERCHANDISE
account_group_101041,1.01.04.02,MERCHANDISE - SPECIAL REGIMES
account_group_101042,1.01.04.03,FINISHED PRODUCTS
account_group_10105,1.01.05,PREPAID EXPENSES
account_group_10106,1.01.06,OTHER CURRENT ASSETS
account_group_102,1.02,NON-CURRENT ASSETS
account_group_10201,1.02.01,LONG-TERM RECEIVABLES
account_group_102010,1.02.01.06,LONG-TERM ADVANCES TO SUPPLIERS
account_group_10202,1.02.02,NON-CURRENT INVENTORIES
account_group_10203,1.02.03,LONG-TERM INVESTMENTS
account_group_10204,1.02.04,"PROPERTY, PLANT AND EQUIPMENT"
account_group_10205,1.02.05,OTHER NON-CURRENT ASSETS
account_group_10206,1.02.06,DEFERRED CHARGES
account_group_10207,1.02.07,INTANGIBLE ASSETS
account_group_2,2,LIABILITIES
account_group_201,2.01,CURRENT LIABILITIES
account_group_20101,2.01.01,TRADE PAYABLES
account_group_20102,2.01.02,FINANCIAL DEBTS
account_group_20103,2.01.03,OTHER ACCOUNTS PAYABLE
account_group_201030,2.01.03.01,CURRENT TAX PAYABLES
account_group_20104,2.01.04,PROVISIONS
account_group_20105,2.01.05,DEFERRED REVENUES
account_group_202,2.02,NON-CURRENT LIABILITIES
account_group_20201,2.02.01,LONG-TERM TRADE PAYABLES
account_group_20202,2.02.02,LONG-TERM FINANCIAL DEBTS
account_group_20203,2.02.03,OTHER LONG-TERM PAYABLES
account_group_20204,2.02.04,PROVISIONS FOR LONG-TERM OBLIGATIONS
account_group_20205,2.02.05,LONG-TERM DEFERRED REVENUES
account_group_3,3,NET EQUITY
account_group_301,3.01,CAPITAL
account_group_30101,3.01.01,PAID-IN CAPITAL
account_group_302,3.02,RESERVES
account_group_30202,3.02.02,REVALUATION RESERVE
account_group_303,3.03,RETAINED EARNINGS
account_group_4,4,OPERATING REVENUES
account_group_401,4.01,MERCHANDISE SALES
account_group_402,4.02,AGRICULTURAL PRODUCT SALES
account_group_406,4.06,AGRICULTURAL PRODUCT EXPORTS
account_group_40601,4.06.01,SOYBEAN AND DERIVATIVES EXPORTS
account_group_407,4.07,INDUSTRIALIZED GOODS EXPORTS
account_group_410,4.10,GOODS SALES - SPECIAL REGIMES
account_group_41001,4.10.01,MERCHANDISE SALES - TOURISM REGIME
account_group_5,5,OPERATING COSTS
account_group_501,5.01,COST OF MERCHANDISE SOLD
account_group_502,5.02,COST OF AGRICULTURAL PRODUCTS
account_group_506,5.06,COST OF EXPORTED AGRICULTURAL PRODUCTS
account_group_50601,5.06.01,COST OF SOYBEAN AND DERIVATIVES EXPORTED
account_group_507,5.07,COST OF INDUSTRIALIZED GOODS EXPORTED
account_group_510,5.10,COST OF GOODS SOLD - SPECIAL REGIMES
account_group_51001,5.10.01,COST OF MERCHANDISE SOLD - TOURISM REGIME
account_group_7,7,BIOLOGICAL ASSET REVENUES
account_group_701,7.01,REVENUES FROM BIOLOGICAL ASSET PRODUCTION/HOLDING
account_group_702,7.02,COST OF BIOLOGICAL ASSET PRODUCTION/HOLDING
account_group_8,8,OTHER REVENUES
account_group_10,10,SALES AND MARKETING EXPENSES
account_group_1001,10.01,SALARIES AND REMUNERATION - SALES
account_group_100101,10.01.01,SALARIES AND OTHER REMUNERATION - SALES STAFF
account_group_11,11,ADMINISTRATIVE EXPENSES
account_group_1101,11.01,SALARIES AND REMUNERATION - ADMIN
account_group_110101,11.01.01,SALARIES AND OTHER REMUNERATION - ADMIN STAFF
account_group_13,13,BANKING AND FINANCIAL EXPENSES
account_group_14,14,PROVISIONS
account_group_15,15,DEPRECIATION AND AMORTIZATION
account_group_17,17,OTHER NON-OPERATING RESULTS
account_group_19,19,INCOME TAX
