"id","name","description","sequence","amount","amount_type","type_tax_use","price_include_override","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tax_py_iva_10_sale","VAT 10% Output Tax","VAT 10% - Price includes tax (price / 11 = 9.0909% effective rate)","1","9.0909","percent","sale","tax_excluded","True","tax_group_iva_10","base","invoice",""
"","","","","","","","","","","","tax","invoice","account_py_220102"
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund","account_py_220102"
"tax_py_iva_10_purchase","VAT 10% Input Tax","VAT 10% - Price includes tax (price / 11 = 9.0909% effective rate)","2","9.0909","percent","purchase","tax_excluded","True","tax_group_iva_10","base","invoice",""
"","","","","","","","","","","","tax","invoice","account_py_30503"
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund","account_py_30503"
"tax_py_iva_5_sale","VAT 5% Output Tax","VAT 5% - Price includes tax (price / 22 = 4.5454% effective rate)","3","4.5454","percent","sale","tax_excluded","True","tax_group_iva_5","base","invoice",""
"","","","","","","","","","","","tax","invoice","account_py_220102"
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund","account_py_220102"
"tax_py_iva_5_purchase","VAT 5% Input Tax","VAT 5% - Price includes tax (price / 22 = 4.5454% effective rate)","4","4.5454","percent","purchase","tax_excluded","True","tax_group_iva_5","base","invoice",""
"","","","","","","","","","","","tax","invoice","account_py_30503"
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund","account_py_30503"
"tax_py_exempt_sale","Exempt - Sales","Exempt VAT operations - 0% rate","5","0.0","percent","sale","tax_excluded","True","tax_group_exempt","base","invoice",""
"","","","","","","","","","","","tax","invoice",""
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund",""
"tax_py_exempt_purchase","Exempt - Purchases","Exempt VAT purchases - 0% rate","6","0.0","percent","purchase","tax_excluded","True","tax_group_exempt","base","invoice",""
"","","","","","","","","","","","tax","invoice",""
"","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","tax","refund",""
